classes	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
2	3	0m04s	0.995	0.995
classes	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
3	8	0m09s	0.9526667	0.929
classes	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
4	8	0m09s	0.96425	0.928
classes	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
5	5	0m06s	0.9642001	0.91
classes	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
6	10	0m12s	0.9346667	0.803
classes	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
7	10	0m12s	0.9371429	0.776
classes	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
8	5	0m06s	0.925	0.688
classes	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
9	7	0m09s	0.9316667	0.661
classes	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
10	10	0m12s	0.9276999	0.581
classes	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
11	10	0m12s	0.93818176	0.621
classes	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
12	6	0m08s	0.94841665	0.605
classes	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
13	9	0m12s	0.95	0.634
classes	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
14	15	0m19s	0.9543572	0.629
classes	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
15	13	0m17s	0.9532	0.561
classes	Epochs	Time	val_binary_accuracy	val_categorical_accuracy
16	8	0m11s	0.955	0.554
